Puppet Labs,Informa0on technology automa0on so8ware
"Portland, OR",
Q,
Qualtrics,SaaS insight and survey plaForm
"Provo, UT",
Quantcast,Digital adver0sing company for marketers
"San Francisco, CA",
R,
Raise.com,Gi8 cards marketplace
"Chicago, IL",
Redfin,Real estate search and brokerage services
"SeaCle, WA",
Rent the Runway,Designer dresses and accessory rentals
"New York, NY",
Reputa7on.com,Enterprise reputa0on management
"Redwood City, CA",
Ring,Video door bell
"Santa Monica, CA",
Rubrik,Live data access for recovery and applica0on
"Palo Alto, CA",development
"Wealthfront’s Career-Launching Companies List, 2017 Edi0on",

S,
SeatGeek,Event >cket marketplace
"New York, NY",
Segment,API for customer data
"San Francisco, CA",
SendGrid,Cloud-based enterprise email delivery service
"Denver, CO",
Silver Peak Systems,SoFware defined WAN devices
"Santa Clara, CA",
SimpliSafe Home,
,Wireless home security systems
Security,
"Boston, MA",
Simplivity,IT infrastructure plaKorm
"Boston, MA",
Slack Technologies,Enterprise communica>on soFware
"San Francisco, CA",
Skyhigh Networks,Security for shadow and securely enable sanc>oned IT
"Campbell, CA",
SoFi,Student loan marketplace
"San Francisco, CA",
Soundcloud,Online audio distribu>on plaKorm for musicians
"San Francisco, CA",and listeners
Squarespace,Consumer focused online publishing tools
"New York, NY",
"Wealthfront’s Career-Launching Companies List, 2017 Edi>on",

S>tch Fix,Personal styling plaGorm
"San Francisco, CA",
Stripe,APIs and tools enabling businesses to accept
"San Francsico, CA",online payments
Sumo Logic,Cloud-based log management and analy:cs
"Redwood City, CA",
T,
Tanium,Enterprise security and systems management solu:ons
"Emeryville, CA",
Tastemade,Online food oriented des:na:on
"Santa Monica, CA",
TeeSpring,Commerce plaGorm for entrepreneurs
"San Francisco, CA",
Tenable Networks,Unified security monitoring solu:ons for
Security,enterprise networks
"Bal:more, MD",
Think Finance,Online financial products for underbanked consumers
"Dallas, TX",
Thought Spot,Rela:onal search engine designed for data analy:cs
"Palo Alto, CA",
ThredUp,Online consignment shop
"San Francisco, CA",
Thrive Marketplace,Online healthy food retailer
"Los Angeles, CA",
"Wealthfront’s Career-Launching Companies List, 2017 Edi:on",

Thumbtack,Online marketplace for home-related services
"San Francisco, CA",
Turo,Car sharing rental marketplace
"San Francsico, CA",
U,
UserTes(ng.com,Web tes;ng service
"San Francisco, CA",
V,
Vox Media,"Online publisher focused on sports, personal"
"Washington, DC",technology and gaming
VSCO,Photography apps and tools
"Oakland, CA",
W,
Warby Parker,Online eyewear retailer
"New York, NY",
Weebly,Website and online store crea;on tools
"San Francisco, CA",
Wish,Mobile commerce plaGorm
"San Francisco, CA",
"Wealthfront’s Career-Launching Companies List, 2017 Edi;on",

Y,
YapStone,Electronic payments for online marketplaces
"Walnut Creek, CA",
Z,
ZScaler,Cloud-delivered security services
"San Jose, CA",
"Wealthfront’s Career-Launching Companies List, 2017 EdiFon",
